No.,Final Sub.,Final Region,Manage Area,JAM Member,Annual Plan Setup,New LMS Course,LMS Mission,Global L&D Council,Infra index response
1,LGEAI,NA Region,Y,Y,N,N,N,N,N
2,LGECI,NA Region,Y,N,N,N,N,N,N
3,LGEUS,NA Region,Y,Y,N,Y,N,N,N
4,LGEVU,NA Region,Y,Y,N,Y,N,N,N
5,ZENITH R&D LAB,NA Region,Y,N,N,Y,N,N,N
6,LGEUS TENNESSEE FACTORY,NA Region,Y,Y,N,Y,N,N,N
7,LGMPU,NA Region,N,N,N,N,N,N,N
8,NA REGION,NA Region,N,Y,N,Y,N,N,N
9,ETC,NA Region,N,N,N,N,N,N,N
10,HUNTSVILLE CAC PRODUCTION DEPARTMENT,NA Region,Y,Y,N,Y,N,N,N
11,LGEMG,MEA Region,Y,Y,N,N,N,N,N
12,LGELF,MEA Region,Y,Y,Y,Y,Y,N,N
13,LGETK,MEA Region,Y,Y,Y,N,N,N,N
14,LGESR,MEA Region,Y,Y,Y,Y,N,N,N
15,LGESQ,MEA Region,N,N,N,N,N,N,N
16,LGEEG FACTORY,MEA Region,Y,Y,Y,Y,N,N,N
17,MEA REGION,MEA Region,N,Y,Y,Y,Y,N,N
18,LGEEG,MEA Region,Y,Y,Y,Y,Y,N,N
19,LGESJ,MEA Region,Y,Y,Y,Y,N,N,N
20,LGEGF,MEA Region,Y,Y,Y,Y,N,N,N
21,LGEME,MEA Region,Y,N,Y,N,N,N,N
22,LGEEF,MEA Region,Y,Y,Y,N,N,N,N
23,LGESA,MEA Region,Y,Y,Y,Y,N,N,N
24,LGEAF,MEA Region,Y,Y,N,N,N,N,N
25,TUNISIA BRANCH,MEA Region,N,N,N,N,N,N,N
26,LGEAT,MEA Region,N,N,N,N,N,N,N
27,ISRAEL BRANCH,MEA Region,N,N,N,N,N,N,N
28,LGEIR,MEA Region,Y,Y,Y,N,N,N,N
29,MOROCCO BRANCH,MEA Region,N,N,N,N,N,N,N
30,LGEDF,MEA Region,N,N,N,N,N,N,N
31,LGEMN,LATAM Region,Y,Y,Y,Y,Y,N,N
32,LGESP MANAUS FACTORY,LATAM Region,Y,Y,Y,Y,N,N,N
33,LGESP,LATAM Region,Y,Y,Y,Y,Y,N,N
34,LGMPM,LATAM Region,N,N,N,N,N,N,N
35,LGERS,LATAM Region,Y,Y,Y,N,N,N,N
36,LGEMX,LATAM Region,N,N,N,N,N,N,N
37,LATAM REGION,LATAM Region,N,Y,Y,Y,Y,N,N
38,LGEPS,LATAM Region,Y,Y,Y,N,N,N,N
39,LGECL,LATAM Region,Y,Y,Y,Y,Y,N,N
40,LGEMS,LATAM Region,Y,Y,Y,N,N,N,N
41,LGECB,LATAM Region,Y,Y,Y,Y,Y,N,N
42,LGEVR,LATAM Region,Y,Y,Y,Y,Y,N,N
43,LGEPR,LATAM Region,Y,Y,Y,Y,N,N,N
44,ARGENTINA BRANCH,LATAM Region,N,N,N,N,N,N,N
45,JAPAN R&D LAB,Japan,N,N,N,N,N,N,N
46,LGEIL,India,Y,Y,Y,Y,Y,N,N
47,LGEIL PUNE FACTORY,India,Y,Y,Y,Y,N,N,N
48,LGEIL NOIDA FACTORY,India,Y,Y,Y,Y,Y,N,N
49,LGSI,India,Y,N,Y,N,N,N,N
50,LGEFS,Europe Region,Y,Y,Y,Y,Y,N,N
51,LGESW,Europe Region,Y,Y,Y,Y,Y,N,N
52,LGEES,Europe Region,Y,Y,Y,Y,Y,N,N
53,LGEMA,Europe Region,Y,Y,Y,Y,Y,N,N
54,CENTRAL SOUTH EU BRANCH,Europe Region,Y,Y,Y,Y,Y,N,N
55,LGEBN,Europe Region,Y,Y,Y,Y,Y,N,N
56,LGEIH,Europe Region,Y,Y,Y,Y,Y,N,N
57,LGEWE,Europe Region,Y,Y,Y,Y,Y,N,N
58,LGEWR,Europe Region,Y,Y,Y,Y,Y,N,N
59,LGEVG,Europe Region,N,N,N,N,N,N,N
60,LGECE,Europe Region,Y,Y,Y,Y,Y,N,N
61,LGEFL,Europe Region,Y,Y,Y,Y,Y,N,N
62,LATVIA BRANCH,Europe Region,Y,Y,Y,Y,Y,N,N
63,EUROPE REGION,Europe Region,N,Y,Y,Y,Y,N,N
64,LGEUK,Europe Region,Y,Y,Y,Y,Y,N,N
65,AUSTRIA BRANCH,Europe Region,Y,Y,Y,Y,Y,N,N
66,ROMANIA BRANCH,Europe Region,Y,Y,Y,Y,Y,N,N
67,PORTUGAL BRANCH,Europe Region,Y,Y,Y,Y,Y,N,N
68,GREECE BRANCH,Europe Region,Y,Y,Y,Y,Y,N,N
69,LGESC,Europe Region,N,N,N,N,N,N,N
70,LGMHP,Europe Region,N,N,N,N,N,N,N
71,LGERZ,CIS Region,N,N,N,N,N,N,N
72,LGERA RUZA FACTORY,CIS Region,Y,Y,Y,Y,Y,N,N
73,RUSSIA R&D LAB,CIS Region,N,N,N,N,N,N,N
74,LGEAK,CIS Region,N,N,N,N,N,N,N
75,UKRAINE BRANCH,CIS Region,N,N,N,N,N,N,N
76,LGETA,China,Y,Y,Y,Y,Y,N,N
77,LGETR,China,Y,Y,Y,Y,Y,N,N
78,LGENV,China,Y,Y,Y,Y,Y,N,N
79,LGENT,China,Y,Y,Y,Y,Y,N,N
80,LGEHZ,China,Y,Y,Y,Y,Y,N,N
81,LGEPN,China,Y,Y,Y,Y,Y,N,N
82,LGMNP,China,N,N,N,N,N,N,N
83,LGECH,China,Y,Y,Y,Y,Y,N,N
84,LGEQH,China,Y,Y,Y,Y,N,N,N
85,CHINA TV LAB,China,N,N,N,N,N,N,N
86,LGEQA,China,Y,Y,Y,Y,Y,N,N
87,LGESY,China,N,N,N,N,N,N,N
88,LGETH RAYONG FACTORY,Asia Region,Y,Y,Y,Y,Y,N,N
89,LGEIN CIBITUNG FACTORY,Asia Region,Y,Y,Y,Y,Y,N,N
90,LGEPH,Asia Region,Y,Y,Y,Y,N,N,N
91,LGEJP,Asia Region,N,N,N,N,N,N,N
92,LGEVH,Asia Region,Y,Y,Y,Y,N,N,N
93,LGEVH SALES SUBSIDIARY,Asia Region,Y,Y,Y,Y,Y,N,N
94,LGEIN TANGGERANG FACTORY,Asia Region,Y,Y,Y,Y,N,N,N
95,LGERC,Asia Region,Y,Y,Y,Y,Y,N,N
96,LGEDV,Asia Region,Y,Y,Y,Y,Y,N,N
97,LGEML,Asia Region,Y,Y,Y,Y,Y,N,N
98,LGETT,Asia Region,Y,Y,Y,Y,N,N,N
99,LGEAP,Asia Region,Y,Y,Y,Y,N,N,N
100,LGEID,Asia Region,Y,Y,Y,Y,N,N,N
101,LGETH,Asia Region,Y,Y,Y,N,Y,N,N
102,LGEIN,Asia Region,Y,Y,Y,Y,N,N,N
103,LGESL,Asia Region,Y,Y,Y,N,Y,N,N
104,ASIA REGION,Asia Region,N,Y,Y,Y,Y,N,N
105,LGEHK,Asia Region,Y,Y,Y,Y,N,N,N
106,LGECZ,Europe Region,Y,Y,N,Y,Y,N,N
